@id,rdf:type,skos:prefLabel,skos:altLabel,skos:definition,skos:note,skos:inScheme,skos:broader,skos:topConceptOf,pav:version,dcterms:source
cpg235:0146,skos:Concept,Descriptions,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0147,skos:Concept,Sources,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0148,skos:Concept,Usages,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0149,skos:Concept,Update mechanisms,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0150,skos:Concept,Owners,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0151,skos:Concept,Authorised users,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0152,skos:Concept,Criticality,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0153,skos:Concept,Sensitivity,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0154,skos:Concept,Quality requirements,,,CPG 235 - Managing Data Risk s 28(b),cpg235:scheme,cpg235:0144,,,
cpg235:0155,skos:Concept,Diagrams and detailed technical information,,,CPG 235 - Managing Data Risk s 28(c),cpg235:scheme,cpg235:0142,,,
cpg235:0156,skos:Concept,Underlying data structure,,Data structure is often embodied in data models.,CPG 235 - Managing Data Risk s 28(c),cpg235:scheme,cpg235:0155,,,
cpg235:0157,skos:Concept,Flow of data,,,CPG 235 - Managing Data Risk s 28(c),cpg235:scheme,cpg235:0155,,,
cpg235:0158,skos:Concept,Systems,,,CPG 235 - Managing Data Risk s 28(c),cpg235:scheme,cpg235:0155,,,
cpg235:0159,skos:Concept,Data repositories,,,CPG 235 - Managing Data Risk s 28(c),cpg235:scheme,cpg235:0155,,,
cpg235:0160,skos:Concept,Interfaces,,,CPG 235 - Managing Data Risk s 28(c),cpg235:scheme,cpg235:0155,,,
cpg235:0161,skos:Concept,Controls across various stages of data life-cycle,,Refers to the end-to-end life-cycle of data from the initial point of capture through to disposal. This differs from the system development life-cycle.,CPG 235 - Managing Data Risk s 28(d),cpg235:scheme,cpg235:0142,,,
cpg235:0162,skos:Concept,Standards and guidelines,,"To facilitate the development of systems, data repositories, interfaces (including exchange of data with external parties) and data controls. This would normally include approved technologies (e.g. applications, data base management systems and data integration .tools).",CPG 235 - Managing Data Risk s 28(e),cpg235:scheme,cpg235:0142,,,
cpg235:0163,skos:Concept,Approved technologies,,,CPG 235 - Managing Data Risk s 28(e),cpg235:scheme,cpg235:0162,,,
cpg235:0164,skos:Concept,Applications,,,CPG 235 - Managing Data Risk s 28(e),cpg235:scheme,cpg235:0163,,,
cpg235:0165,skos:Concept,Data base management systems,,,CPG 235 - Managing Data Risk s 28(e),cpg235:scheme,cpg235:0163,,,
cpg235:0166,skos:Concept,Data integration tools,,,CPG 235 - Managing Data Risk s 28(e),cpg235:scheme,cpg235:0163,,,
cpg235:0167,skos:Concept,"Alignment with established policies, standards and guidelines",,"APRA envisages that the data architecture would normally align with a regulated entity's established policies, standards and guidelines. An entity would normally maintain the data architecture as part of its change management, project management and system life-cycle processes. This includes controls to ensure alignment to the standards and guidelines embodied in the data architecture.",CPG 235 - Managing Data Risk s 29,cpg235:scheme,cpg235:0136,,,
cpg235:0200,skos:Concept,Staff awareness,,,,cpg235:scheme,,cpg235:scheme,,
cpg235:0201,skos:Concept,Training and awareness program,,,,cpg235:scheme,cpg235:0200,,,
cpg235:0202,skos:Concept,Initial and ongoing training and awareness program,,"A regulated entity would be likely to benefit from developing an initial and ongoing training and awareness program. For staff who do not have specific data risk management responsibilities, this would typically be incorporated as part of ongoing business process-specific or broader risk management training, as applicable.",CPG 235 - Managing Data Risk s 30,cpg235:scheme,cpg235:0201,,,
cpg235:0203,skos:Concept,Staff performance plans,,"A regulated entity could also consider incorporating data risk management responsibilities as a component of staff performance plans, as appropriate.",CPG 235 - Managing Data Risk s 31,cpg235:scheme,cpg235:0201,,,
cpg235:0204,skos:Concept,Staff education areas,,,,cpg235:scheme,cpg235:0200,,,
cpg235:0205,skos:Concept,Responsibilities in maintaining data quality,,"In APRA's view, a regulated entity would regularly educate users as to their responsibilities in maintaining data quality.",CPG 235 - Managing Data Risk s 32,cpg235:scheme,cpg235:0204,,,
cpg235:0206,skos:Concept,Ensuring the quality of data entered,,,CPG 235 - Managing Data Risk s 32(a),cpg235:scheme,cpg235:0205,,,
cpg235:0207,skos:Concept,Verifying the level of data quality prior to its use,,,CPG 235 - Managing Data Risk s 32(b),cpg235:scheme,cpg235:0205,,,
cpg235:0208,skos:Concept,Mechanisms for reporting data quality issues and concerns,,,CPG 235 - Managing Data Risk s 32(c),cpg235:scheme,cpg235:0205,,,
cpg235:0209,skos:Concept,Adherence to data-related policies and standards,,,CPG 235 - Managing Data Risk s 32(d),cpg235:scheme,cpg235:0205,,,
cpg235:0300,skos:Concept,Data life-cycle management,,,,cpg235:scheme,,cpg235:scheme,,
cpg235:0301,skos:Concept,Data risk considered at all stages,,,,cpg235:scheme,cpg235:0300,,,
cpg235:0302,skos:Concept,Data risk is considered at each stage of its life-cycle,,"APRA envisages that a regulated entity would ensure that data risk is considered at each stage of its life-cycle and that appropriate controls are implemented to ensure that data requirements are met. Data-related life-cycle stages typically include data capture, processing, retention, publication and disposal.",CPG 235 - Managing Data Risk s 33,cpg235:scheme,cpg235:0301,,,
cpg235:0303,skos:Concept,Capture,,,CPG 235 - Managing Data Risk s 33,cpg235:scheme,cpg235:0302,,,
cpg235:0304,skos:Concept,Processing,,,CPG 235 - Managing Data Risk s 33,cpg235:scheme,cpg235:0302,,,
cpg235:0305,skos:Concept,Retention,,,CPG 235 - Managing Data Risk s 33,cpg235:scheme,cpg235:0302,,,
cpg235:0306,skos:Concept,Publication,,,CPG 235 - Managing Data Risk s 33,cpg235:scheme,cpg235:0302,,,
cpg235:0307,skos:Concept,Disposal,,,CPG 235 - Managing Data Risk s 33,cpg235:scheme,cpg235:0302,,,
cpg235:0308,skos:Concept,Capture controls,,,,cpg235:scheme,cpg235:0300,,,
cpg235:0309,skos:Concept,Controls designed to ensure that newly introduced data meets data quality requirements,,"Data capture controls, including manual entry of data as well as automated data feeds from internal business units and external sources, would typically be designed to ensure that newly introduced data meets data quality requirements.",CPG 235 - Managing Data Risk s 34,cpg235:scheme,cpg235:0308,,,
cpg235:0310,skos:Concept,User interfaces conduct appropriate validation,,,CPG 235 - Managing Data Risk s 34(a),cpg235:scheme,cpg235:0309,,,
cpg235:0311,skos:Concept,Mechanisms to detect if automated data feeds are functioning as expected,,,CPG 235 - Managing Data Risk s 34(b),cpg235:scheme,cpg235:0309,,,
cpg235:0312,skos:Concept,Specification of data quality requirements and the mechanisms for handling data quality issues included in agreements with internal and external parties,,,CPG 235 - Managing Data Risk s 34(c),cpg235:scheme,cpg235:0309,,,
cpg235:0313,skos:Concept,Processing controls,,,,cpg235:scheme,cpg235:0300,,,
cpg235:0314,skos:Concept,Controls to ensure that data processing and the output generated continue to meet data quality requirements,,,CPG 235 - Managing Data Risk s 35,cpg235:scheme,cpg235:0313,,,
cpg235:0315,skos:Concept,Data integration controls,,,CPG 235 - Managing Data Risk s 35(a),cpg235:scheme,cpg235:0314,,,
cpg235:0316,skos:Concept,"Acquisition and implementation via approved development, change and project management methodologies",,,CPG 235 - Managing Data Risk s 35(b),cpg235:scheme,cpg235:0314,,,
cpg235:0317,skos:Concept,Exception handling to identify and respond to data quality issues in a timely manner,,,CPG 235 - Managing Data Risk s 35(c),cpg235:scheme,cpg235:0314,,,
cpg235:0318,skos:Concept,Error-handling to ensure data is able be restored or corrected to a known level of data quality,,"This is commonly achieved through a variety of mechanisms including database management system checkpoint and rollback capabilities, data backup and recovery, and the design of automated processes so they can be re-run if required.",CPG 235 - Managing Data Risk s 35(d),cpg235:scheme,cpg235:0314,,,
cpg235:0320,skos:Concept,Retention controls,,,,cpg235:scheme,cpg235:0300,,,
cpg235:0321,skos:Concept,Controls to ensure that data requirements are not compromised as a result of risks associated with the storage of data,,"APRA's prudential standards and prudential practice guides on security, business continuity management and outsourcing provide specific requirements and guidance in this area.",CPG 235 - Managing Data Risk s 36,cpg235:scheme,cpg235:0320,,,
cpg235:0322,skos:Concept,Outsourced data hosting controls,,,CPG 235 - Managing Data Risk s 36,cpg235:scheme,cpg235:0321,,,
cpg235:0323,skos:Concept,Offshore data hosting controls,,,CPG 235 - Managing Data Risk s 36,cpg235:scheme,cpg235:0321,,,
cpg235:0324,skos:Concept,Formal retention strategy,,,CPG 235 - Managing Data Risk s 37,cpg235:scheme,cpg235:0320,,,
cpg235:0325,skos:Concept,Common issues in data retention,,,CPG 235 - Managing Data Risk s 37,cpg235:scheme,cpg235:0324,,,
cpg235:0326,skos:Concept,Accidental deletion,,,CPG 235 - Managing Data Risk s 37,cpg235:scheme,cpg235:0325,,,
cpg235:0327,skos:Concept,Data corruption,,,CPG 235 - Managing Data Risk s 37,cpg235:scheme,cpg235:0325,,,
cpg235:0328,skos:Concept,Changes in technology,,,CPG 235 - Managing Data Risk s 37,cpg235:scheme,cpg235:0325,,,
cpg235:0329,skos:Concept,Poor asset management,,,CPG 235 - Managing Data Risk s 37,cpg235:scheme,cpg235:0325,,,
cpg235:0330,skos:Concept,"Mechanisms to endure that data retention complies with business requirements, including regulatory and legal requirements",,,CPG 235 - Managing Data Risk s 37,cpg235:scheme,cpg235:0324,,,
cpg235:0331,skos:Concept,Protocols for data correction,,"These controls would typically include appropriate segregation of duties, to reduce the potential for the actions of an individual to compromise data quality.",CPG 235 - Managing Data Risk s 38,cpg235:scheme,cpg235:0320,,,
cpg235:0332,skos:Concept,Approval and review of data changes,,,CPG 235 - Managing Data Risk s 38,cpg235:scheme,cpg235:0331,,,
cpg235:0333,skos:Concept,Maintenance of audit trails for tracking data changes,,,CPG 235 - Managing Data Risk s 38,cpg235:scheme,cpg235:0331,,,
cpg235:0340,skos:Concept,Publication controls,,,,cpg235:scheme,cpg235:0300,,,
cpg235:0341,skos:Concept,Controls to ensure that published data meets the understood content and quality requirements of users,,"Data publication refers to the production of information for internal and external stakeholders (e.g. operational information, management information, customer information, media releases, regulatory reporting).",CPG 235 - Managing Data Risk s 39,cpg235:scheme,cpg235:0340,,,
cpg235:0342,skos:Concept,Acquisition and implementation controls for new publication mechanisms,,,CPG 235 - Managing Data Risk s 39(a),cpg235:scheme,cpg235:0341,,,
cpg235:0343,skos:Concept,Management review and approval,,,CPG 235 - Managing Data Risk s 39(a),cpg235:scheme,cpg235:0342,,,
cpg235:0344,skos:Concept,Change management,,,CPG 235 - Managing Data Risk s 39(a),cpg235:scheme,cpg235:0342,,,
cpg235:0345,skos:Concept,Project management,,,CPG 235 - Managing Data Risk s 39(a),cpg235:scheme,cpg235:0342,,,
cpg235:0346,skos:Concept,System development lifecycle,,,CPG 235 - Managing Data Risk s 39(a),cpg235:scheme,cpg235:0342,,,
cpg235:0347,skos:Concept,Validation and monitoring,,,CPG 235 - Managing Data Risk s 39(b),cpg235:scheme,cpg235:0341,,,
cpg235:0348,skos:Concept,Process to manage data issues raised by users,,,CPG 235 - Managing Data Risk s 39(c),cpg235:scheme,cpg235:0341,,,
cpg235:0349,skos:Concept,Data quality requirements clearly specified,,,CPG 235 - Managing Data Risk s 40,cpg235:scheme,cpg235:0340,,,
cpg235:0350,skos:Concept,Confidentiality is not compromised through the publication of data,,,CPG 235 - Managing Data Risk s 40,cpg235:scheme,cpg235:0340,,,
cpg235:0351,skos:Concept,Inclusion of metrics with the data,,"Additionally, depending on the nature of usage, there could be benefit in a regulated entity including metrics with the data to provide users with an indication of the level of data quality (e.g. the level of completeness and accuracy).",CPG 235 - Managing Data Risk s 41,cpg235:scheme,cpg235:0340,,,
cpg235:0360,skos:Concept,Disposal controls,,,,cpg235:scheme,cpg235:0300,,,
cpg235:0361,skos:Concept,Controls to ensure data is disposed of in compliance with the retention strategy,,,CPG 235 - Managing Data Risk s 42(a),cpg235:scheme,cpg235:0360,,,
cpg235:0362,skos:Concept,"Controls to ensure business requirements with respect to confidentiality are not compromised as hardware, software or data reach the end of their useful life or the hardware/software is recommissioned for another use",,,CPG 235 - Managing Data Risk s 42(b),cpg235:scheme,cpg235:0360,,,
cpg235:0363,skos:Concept,Examples of disposal controls,,,CPG 235 - Managing Data Risk s 42,cpg235:scheme,cpg235:0360,,,
cpg235:0364,skos:Concept,Deletion of sensitive information prior to the disposal or recommissioning of hardware,,,CPG 235 - Managing Data Risk s 42,cpg235:scheme,cpg235:0363,,,
cpg235:0365,skos:Concept,Archiving data prior to decommissioning systems,,,CPG 235 - Managing Data Risk s 42,cpg235:scheme,cpg235:0363,,,
cpg235:0366,skos:Concept,Removal of data following disaster recovery testing,,,CPG 235 - Managing Data Risk s 42,cpg235:scheme,cpg235:0363,,,
cpg235:0400,skos:Concept,Other control considerations,,,,cpg235:scheme,,cpg235:scheme,,
cpg235:0401,skos:Concept,Auditability,,The ability to confirm the origin of data and provide transparency of all alterations.,CPG 235 - Managing Data Risk s 43,cpg235:scheme,cpg235:0400,,,
cpg235:0402,skos:Concept,Examination of data and associated audit trails,,"Evidence (e.g. log files, paperwork) of the sequence of activities that have affected data through a specific operation, procedure, or event.",CPG 235 - Managing Data Risk s 43,cpg235:scheme,cpg235:0401,,,
cpg235:0403,skos:Concept,Data architecture,,,CPG 235 - Managing Data Risk s 43,cpg235:scheme,cpg235:0401,,,
cpg235:0404,skos:Concept,Other supporting material,,,CPG 235 - Managing Data Risk s 43,cpg235:scheme,cpg235:0401,,,
cpg235:0405,skos:Concept,Desensitisation,,The process of reducing a data set's sensitivity to a level which complies with the authorised access of the end-user.,CPG 235 - Managing Data Risk s 44,cpg235:scheme,cpg235:0400,,,
cpg235:0406,skos:Concept,Use of cryptographic techniques when transferring data to a less trusted environment,,"Methods used to transform data/information using an algorithm to make it unreadable to anyone except those possessing special knowledge, usually referred to as a key.",CPG 235 - Managing Data Risk s 44,cpg235:scheme,cpg235:0405,,,
cpg235:0407,skos:Concept,Use of de-identification techniques when transferring data to a less trusted environment,,"The removal of identifying information (e.g. name, date of birth).",CPG 235 - Managing Data Risk s 44,cpg235:scheme,cpg235:0405,,,
cpg235:0408,skos:Concept,End-user computing,,"Current technologies allow for end-users to develop/configure software for the purpose of automating day-to-day business processes, facilitating decision-making and storing data. In addition, software is increasingly designed to enable extraction of data by users. This creates a risk that data life-cycle controls may be inadequate given that end-user developed/configured software is not typically subject to the controls that a technology function would apply.",CPG 235 - Managing Data Risk s 45,cpg235:scheme,cpg235:0400,,,
cpg235:0409,skos:Concept,Processes to identify the existence of end-user developed/configured software and assess its risk exposure,,"In APRA's view, any software that is used for the processing and retention of critical or sensitive data would comply with the relevant life-cycle controls of the entity.",CPG 235 - Managing Data Risk s 46,cpg235:scheme,cpg235:0408,,,
cpg235:0410,skos:Concept,Outsourcing/offshoring of data management responsibilities,,"Continued industry developments allow a regulated entity to more easily move data management responsibilities to service providers or other entities within a group (both on- and offshore). This increases the risk that data life-cycle controls may be inadequate, with problems potentially magnified when offshoring is involved. The possible causes of this increased risk include control framework variations, lack of proximity, reduced corporate allegiance, geopolitical risks and jurisdictional-specific requirements. ",CPG 235 - Managing Data Risk s 47,cpg235:scheme,cpg235:0400,,,
